content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
It needs improvement Very slow in loading up The number of active devices is very limited Only number devices All other streaming services accept bigger number They should make the number at least number different devices,2023-06-12 07:13:07,6.1.0,33.6,5.0,61.4,82.28,Positive
Anumber,2023-06-10 03:53:21,6.1.0,0.0,0.0,100.0,0.0,Neutral
Very niceThanks for stc tv,2023-06-09 10:59:19,6.1.0,0.0,0.0,100.0,0.0,Neutral
great off or online streaming app,2023-06-06 01:01:03,6.1.0,45.1,0.0,54.900000000000006,62.49,Positive
A great application with variety but I cannot speed up the video,2023-06-05 12:06:35,6.1.0,22.1,0.0,77.9,37.16,Positive
Application getting hanged aloteven after clearing the cache memory app hanged middle of the video Kindly check if thier any bug their,2023-06-03 08:00:37,6.1.0,13.200000000000001,0.0,86.8,49.39,Positive
Unfortunately the app is not available on Google Play on my Sony smart tv,2023-06-02 14:46:11,6.1.0,27.6,13.0,59.5,40.19,Positive
excellent,2023-06-02 10:19:06,6.1.0,100.0,0.0,0.0,57.19,Positive
it is great app,2023-06-01 05:38:33,6.1.0,57.699999999999996,0.0,42.3,62.49,Positive
it is ok,2023-06-01 01:22:30,6.1.0,52.400000000000006,0.0,47.599999999999994,29.599999999999998,Positive
,2023-05-31 15:16:29,6.0.1,0.0,0.0,0.0,0.0,Neutral
I like it,2023-05-31 10:34:47,6.1.0,71.39999999999999,0.0,28.599999999999998,36.120000000000005,Positive
Nice for having live TV on my phone The stc TV Lite package is so cheap only for number SAR,2023-05-31 07:06:23,6.1.0,18.6,0.0,81.39999999999999,47.67,Positive
,2023-05-28 15:25:11,6.1.0,0.0,0.0,0.0,0.0,Neutral
mirroring on tv does not work and watching through the app on tv directly is even worse with all the skippings and glitchs But hey you can watch on your phone who needs a big tv screen face with rolling eyes,2023-05-27 05:21:22,6.1.0,0.0,5.0,95.0,-26.169999999999998,Negative
thumbs up,2023-05-26 08:44:36,6.1.0,0.0,0.0,100.0,0.0,Neutral
Paid review,2023-05-19 11:45:05,2.5.6,0.0,0.0,100.0,0.0,Neutral
Cheated us providing gift in wizarat branch park campaign numbernumbernumber,2023-05-19 11:28:55,6.1.0,20.4,23.200000000000003,56.3,-10.27,Negative
thumbs down,2023-05-18 02:47:12,6.1.0,0.0,0.0,100.0,0.0,Neutral
thumbs downworst experience ever with this company,2023-05-15 06:03:39,6.1.0,0.0,0.0,100.0,0.0,Neutral
Nice number,2023-05-13 06:53:08,6.0.1,100.0,0.0,0.0,47.67,Positive
red heartred heart,2023-05-11 14:40:16,6.1.0,0.0,0.0,100.0,0.0,Neutral
WATCH STCTV ANYWHERE ANYTIME AS LONG YOU HAVE STC MOBILE SIM WITH INTERNET PACKAGE,2023-05-11 07:50:53,6.1.0,0.0,0.0,100.0,0.0,Neutral
,2023-05-04 03:04:01,6.0.1,0.0,0.0,0.0,0.0,Neutral
Very nice,2023-05-04 02:55:17,,75.6,0.0,24.4,47.54,Positive
amazing TV app,2023-05-03 06:36:58,6.1.0,65.5,0.0,34.5,58.589999999999996,Positive
Bad,2023-05-02 23:33:03,,0.0,100.0,0.0,-54.230000000000004,Negative
thumbs up light skin tonethumbs up light skin tonethumbs up light skin tonethumbs up light skin tonethumbs up light skin tone,2023-05-02 07:37:15,6.0.1,0.0,0.0,100.0,0.0,Neutral
nice,2023-05-02 00:50:50,6.0.1,100.0,0.0,0.0,42.15,Positive
VERY GOOD,2023-05-01 13:12:15,6.0.1,76.2,0.0,23.799999999999997,49.27,Positive
I have an old phone but still the app is very responsive and have never crashed or lagged on me Also the layout is nice and neat The movies and shows selections are very nice from classics to recent showsadding to thatmany different types and categories of shows and movies are available which is really good There is also this option to rent out recently released or in high demand shows for a very cheap price like numberSR I would definitely recommend STC TV app over all other competitors numbernumber,2023-05-01 10:48:20,6.0.1,28.999999999999996,1.6,69.39999999999999,98.54,Positive
easy to use,2023-05-01 08:52:23,6.0.1,59.199999999999996,0.0,40.8,44.04,Positive
nice app,2023-05-01 08:34:31,6.0.1,73.7,0.0,26.3,42.15,Positive
Hey STC can we Google account from me,2023-05-01 08:15:42,,0.0,0.0,100.0,0.0,Neutral
Pretty,2023-04-30 12:46:17,6.0.1,100.0,0.0,0.0,49.39,Positive
,2023-04-30 05:47:43,6.0.1,0.0,0.0,0.0,0.0,Neutral
,2023-04-28 01:15:22,6.0.1,0.0,0.0,0.0,0.0,Neutral
not much options for non arabic speakers,2023-04-27 00:51:24,6.0.1,0.0,0.0,100.0,0.0,Neutral
good,2023-04-26 14:09:16,6.0.1,100.0,0.0,0.0,44.04,Positive
good app,2023-04-25 09:25:50,6.0.1,74.4,0.0,25.6,44.04,Positive
,2023-04-24 19:30:39,6.0.1,0.0,0.0,0.0,0.0,Neutral
It is good it deserves four stars,2023-04-24 18:37:10,6.0.1,32.6,0.0,67.4,44.04,Positive
,2023-04-24 10:49:51,6.0.1,0.0,0.0,0.0,0.0,Neutral
Very good,2023-04-23 07:13:17,6.0.1,76.2,0.0,23.799999999999997,49.27,Positive
Where is quilaty control option for God sake,2023-04-22 13:34:26,,23.1,0.0,76.9,27.32,Positive
Great streaming application,2023-04-21 16:23:02,6.0.1,67.2,0.0,32.800000000000004,62.49,Positive
goodthumbs upsmiling face with hearteyes,2023-04-21 07:31:45,6.0.1,0.0,0.0,100.0,0.0,Neutral
number error starting app,2023-04-20 18:39:21,6.0.1,21.7,45.0,33.300000000000004,-34.0,Negative
very good thumbs up,2023-04-19 10:48:13,6.0.1,51.6,0.0,48.4,49.27,Positive
Excellent,2023-04-19 10:24:34,6.0.1,100.0,0.0,0.0,57.19,Positive
VERY GOOD,2023-04-19 09:58:01,6.0.1,76.2,0.0,23.799999999999997,49.27,Positive
It just for kalij,2023-04-19 09:29:50,6.0.1,0.0,0.0,100.0,0.0,Neutral
,2023-04-19 09:14:27,6.0.1,0.0,0.0,0.0,0.0,Neutral
I just downloaded it and it does not function Maybe it does not work in the USA,2023-04-19 01:33:48,6.0.1,0.0,0.0,100.0,0.0,Neutral
thumbs up light skin tone,2023-04-17 02:21:02,6.0.1,0.0,0.0,100.0,0.0,Neutral
perfection,2023-04-16 17:27:19,6.0.1,100.0,0.0,0.0,57.19,Positive
very good app just needed to upgrade,2023-04-15 18:45:49,6.0.1,34.699999999999996,0.0,65.3,49.27,Positive
Easy to use,2023-04-15 09:30:51,6.0.1,59.199999999999996,0.0,40.8,44.04,Positive
When i open the app it show me oops somthing gone wrong pls try agein soon number,2023-04-15 06:39:50,6.0.1,13.900000000000002,16.6,69.5,-36.120000000000005,Negative
cool app smiling face with sunglasses,2023-04-13 14:39:33,6.0.1,56.99999999999999,0.0,43.0,64.86,Positive
cannot open it on WEBOS tvs,2023-04-12 07:49:05,6.0.1,0.0,0.0,100.0,0.0,Neutral
ww,2023-04-12 05:26:32,6.0.1,0.0,0.0,100.0,0.0,Neutral
does not work,2023-04-10 12:51:07,6.0.1,0.0,0.0,100.0,0.0,Neutral
Exellanat App,2023-04-09 23:48:46,6.0.0,0.0,0.0,100.0,0.0,Neutral
I just dowloaded the app on my android device and I am always getting something went wrong plz try again later number I tried clearing the data and cachi memory and restarting the device but still facing the same issue,2023-04-09 04:20:58,6.0.1,6.0,5.3,88.7,-19.009999999999998,Negative
Cannot even open the apo gives me error is it because I am at qatar,2023-04-09 03:03:37,,0.0,17.2,82.8,-40.19,Negative
,2023-04-08 17:48:18,,0.0,0.0,0.0,0.0,Neutral
,2023-04-08 08:52:46,6.0.0,0.0,0.0,0.0,0.0,Neutral
wonderful app has more than what you need from channels also for kids,2023-04-07 21:36:04,6.0.0,23.599999999999998,0.0,76.4,57.19,Positive
Very bad,2023-04-07 18:15:58,6.0.0,0.0,79.10000000000001,20.9,-58.489999999999995,Negative
,2023-04-07 15:23:27,6.0.0,0.0,0.0,0.0,0.0,Neutral
Be the best,2023-04-07 10:30:02,6.0.1,67.7,0.0,32.300000000000004,63.690000000000005,Positive
Keeps crashing display settings not Fold friendly,2023-04-07 08:41:56,6.0.0,0.0,30.5,69.5,-38.75,Negative
nice thumbs up app,2023-04-05 06:43:01,6.0.0,48.3,0.0,51.7,42.15,Positive
Amazing,2023-04-05 04:14:53,6.0.0,100.0,0.0,0.0,58.589999999999996,Positive
live tv channels quality is numberp so bad app has no option to increase quality to at least numberp movies and drama collection is also limited with also basic quality many times app keeps buffering for content some tv channels does not connect to source app does not support multiple audio or subtitles options numbernumber kd seems expensive for such service better to subscribe Disney or Netflix for numberkd monthly,2023-04-04 18:39:17,,6.5,13.600000000000001,80.0,-68.58,Negative
Keep telling me error number,2023-04-04 15:02:36,6.0.0,18.6,38.6,42.9,-34.0,Negative
I recommend very nice,2023-04-04 14:53:32,6.0.0,84.8,0.0,15.2,68.01,Positive
i recomend stc tv to my all friend specaily whos lives in saudi arabia and gulf countries its an amazing app where you see your favt channel anytime anywhere thanks STC,2023-04-04 14:03:11,6.0.0,26.8,0.0,73.2,87.2,Positive
Bad app,2023-04-03 23:36:20,,0.0,77.8,22.2,-54.230000000000004,Negative
slightly smiling face,2023-04-03 23:16:38,6.0.0,57.49999999999999,0.0,42.5,40.33,Positive
,2023-04-02 12:58:30,6.0.0,0.0,0.0,0.0,0.0,Neutral
,2023-04-01 03:15:18,6.0.0,0.0,0.0,0.0,0.0,Neutral
thumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs upthumbs up,2023-03-31 12:16:09,6.0.0,0.0,0.0,100.0,0.0,Neutral
slightly smiling faceunamused face,2023-03-31 02:43:37,,47.4,0.0,52.6,40.33,Positive
,2023-03-30 11:26:45,6.0.0,0.0,0.0,0.0,0.0,Neutral
,2023-03-30 08:17:34,6.0.0,0.0,0.0,0.0,0.0,Neutral
,2023-03-29 04:12:24,6.0.0,0.0,0.0,0.0,0.0,Neutral
Not working in Australia,2023-03-29 00:44:59,6.0.0,0.0,0.0,100.0,0.0,Neutral
,2023-03-28 11:54:38,6.0.0,0.0,0.0,0.0,0.0,Neutral
Low quality live channel Slow download video Bad performance while navigation,2023-03-28 11:02:48,6.0.0,0.0,38.4,61.6,-68.08,Negative
smiling face with hearteyessmiling face with hearteyessmiling face with hearteyessmiling face with hearteyessmiling face with hearteyeswhite heartwhite heartwhite heartwhite heartwhite heart,2023-03-27 03:10:16,6.0.0,13.0,0.0,87.0,45.879999999999995,Positive
,2023-03-26 18:26:52,,0.0,0.0,0.0,0.0,Neutral
,2023-03-25 16:41:11,,0.0,0.0,0.0,0.0,Neutral
beaming face with smiling eyes,2023-03-25 06:19:47,6.0.0,42.9,0.0,57.099999999999994,45.879999999999995,Positive
One of the best apps I have ever used for live TV channels plus addational series and movies customized for STC TV I really enjoy watching TV Channel by this application where you can watch any missed episode or show,2023-03-24 12:22:36,6.0.0,17.1,4.9,78.0,75.74,Positive
ist work,2023-03-24 09:34:26,6.0.0,0.0,0.0,100.0,0.0,Neutral
easy and fun,2023-03-24 04:58:08,6.0.0,86.1,0.0,13.900000000000002,73.50999999999999,Positive
OK hand,2023-03-24 03:18:52,6.0.0,100.0,0.0,0.0,72.97,Positive
good app Bangladeshred heartSaudi Arabia,2023-03-21 06:16:00,5.9.2,42.0,0.0,57.99999999999999,44.04,Positive
thank you so much,2023-03-18 14:58:07,5.9.2,45.5,0.0,54.50000000000001,36.120000000000005,Positive
,2023-03-17 10:04:40,5.9.2,0.0,0.0,0.0,0.0,Neutral
it works perfectly with XBOX SERIES X,2023-03-14 14:12:54,5.9.2,45.7,0.0,54.300000000000004,63.690000000000005,Positive
,2023-03-14 12:29:38,5.9.2,0.0,0.0,0.0,0.0,Neutral
good thumbs upsmiling face with smiling eyes,2023-03-08 17:58:54,5.9.2,54.1,0.0,45.9,70.96000000000001,Positive
very easy to use and a fast app,2023-03-06 08:21:48,5.9.0,34.699999999999996,0.0,65.3,49.27,Positive
,2023-03-05 03:53:00,5.9.0,0.0,0.0,0.0,0.0,Neutral
,2023-03-04 02:52:43,5.9.0,0.0,0.0,0.0,0.0,Neutral
great,2023-03-01 09:42:56,5.9.0,100.0,0.0,0.0,62.49,Positive
TV,2023-02-27 13:43:49,5.9.0,0.0,0.0,100.0,0.0,Neutral
Perfect and thanks for the offer,2023-02-26 08:34:27,5.9.0,62.3,0.0,37.7,76.5,Positive
hanging and when i get back it does not play from where I was,2023-02-25 08:37:38,5.9.0,0.0,15.6,84.39999999999999,-25.840000000000003,Negative
Maybe the app was rushed Keeps on crashing and need to log in often,2023-02-23 17:26:46,5.9.0,0.0,0.0,100.0,0.0,Neutral
Good,2023-02-23 12:05:31,5.9.0,100.0,0.0,0.0,44.04,Positive
Best app for entertainment,2023-02-22 19:39:27,5.9.0,77.8,0.0,22.2,79.06,Positive
VNice App,2023-02-21 20:23:29,5.9.0,0.0,0.0,100.0,0.0,Neutral
,2023-02-21 09:50:55,5.9.0,0.0,0.0,0.0,0.0,Neutral
very good,2023-02-21 05:18:59,5.9.0,76.2,0.0,23.799999999999997,49.27,Positive
Please give us the option to set the quality I have numbermbps fiber and the quality keep switching to like numberp every number seconds So annoying,2023-02-18 08:26:31,5.9.0,20.3,9.9,69.8,27.48,Positive
numbernumbernumber,2023-02-17 12:51:46,5.9.0,0.0,0.0,100.0,0.0,Neutral
Do not even work,2023-02-17 04:36:17,5.8.0,0.0,0.0,100.0,0.0,Neutral
good app  has a lot of TV shows and live show  I like old is gold part  it is awesome to watch old cartoons,2023-02-16 10:03:11,5.8.0,33.300000000000004,0.0,66.7,85.91,Positive
its good all have new movies,2023-02-13 07:20:28,5.8.0,36.7,0.0,63.3,44.04,Positive
amazing episodes and movies,2023-02-12 12:23:14,5.8.0,55.900000000000006,0.0,44.1,58.589999999999996,Positive
number,2023-02-12 10:34:48,,100.0,0.0,0.0,7.720000000000001,Positive
very good App,2023-02-12 08:40:28,5.8.0,61.5,0.0,38.5,49.27,Positive
Error number,2023-02-07 06:51:19,5.8.0,32.5,67.5,0.0,-34.0,Negative
Nice,2023-02-05 12:04:27,5.8.0,100.0,0.0,0.0,42.15,Positive
Good thumbs up,2023-02-05 11:46:00,5.8.0,59.199999999999996,0.0,40.8,44.04,Positive
,2023-02-05 08:07:03,,0.0,0.0,0.0,0.0,Neutral
Shitbull,2023-02-04 08:44:21,,0.0,0.0,100.0,0.0,Neutral
attracted,2023-02-01 15:13:46,5.8.0,100.0,0.0,0.0,42.15,Positive
Remove the initial tone when opening the app it is noisy and annoying Now it is not working in UAE thumbs down light skin tone thumbs down light skin tone thumbs down light skin tone,2023-02-01 04:21:37,5.8.0,0.0,11.799999999999999,88.2,-52.669999999999995,Negative
I have no more option I end my opinon Iknowsome english hindi urdu And also bengali,2023-01-31 02:18:12,5.8.0,0.0,14.499999999999998,85.5,-29.599999999999998,Negative
Because when i m watching something after minutes that screen automatically all black and only sounds play many times i report this bug but not solve worst app face vomitingface vomiting,2023-01-29 05:17:20,5.8.0,18.6,5.7,75.7,64.32,Positive
stc to,2023-01-28 04:44:59,,0.0,0.0,100.0,0.0,Neutral
,2023-01-25 20:56:31,5.4.1,0.0,0.0,0.0,0.0,Neutral
grinning face with smiling eyesgood,2023-01-22 10:57:28,5.7.0,64.7,0.0,35.3,67.05,Positive
Excellent soon will replace netflix for ksalove it,2023-01-22 07:20:52,5.7.0,34.599999999999994,0.0,65.4,57.19,Positive
Need more improvement,2023-01-21 08:05:50,5.7.0,62.2,0.0,37.8,50.949999999999996,Positive
Nice apps,2023-01-21 06:44:51,5.7.0,73.7,0.0,26.3,42.15,Positive
Nice app,2023-01-21 05:38:49,5.7.0,73.7,0.0,26.3,42.15,Positive
thanks for more movie,2023-01-16 07:33:09,5.7.0,49.2,0.0,50.8,44.04,Positive
Great Entertainment The quality and the quantity along with ther diverse showsmovies were really good The live TV also had a variety of channels which included everything from newsmoviesshows cartoons etc all the genres needed to be well entertained It was definitely fun,2023-01-10 23:44:25,5.7.0,37.4,0.0,62.6,96.33,Positive
,2023-01-10 02:00:47,5.7.0,0.0,0.0,0.0,0.0,Neutral
Content needs improvement,2023-01-09 23:34:37,5.7.0,60.0,0.0,40.0,45.879999999999995,Positive
Nice stc TV aap,2023-01-08 07:39:34,5.7.0,48.3,0.0,51.7,42.15,Positive
,2023-01-05 02:15:04,5.7.0,0.0,0.0,0.0,0.0,Neutral
good app hope to increase new features,2023-01-04 03:49:07,5.7.0,66.9,0.0,33.1,79.64,Positive
,2023-01-03 10:27:51,5.7.0,0.0,0.0,0.0,0.0,Neutral
The app always crashing and everything time YOU try to rub the app I need to try number time where it randomly work I feel there are some things worth watching but the app just make me think it is wast of money,2023-01-01 10:15:29,5.7.0,6.2,0.0,93.8,15.310000000000002,Positive
Good quality but needed more channels for foreigners such as indians,2022-12-31 11:48:13,5.7.0,16.3,0.0,83.7,23.82,Positive
very interesting,2022-12-28 03:54:24,5.7.0,75.0,0.0,25.0,45.76,Positive
MashAllah it is good,2022-12-27 23:28:20,5.7.0,49.2,0.0,50.8,44.04,Positive
,2022-12-22 13:50:09,5.7.0,0.0,0.0,0.0,0.0,Neutral
love the app and do recommend it,2022-12-18 02:42:42,5.7.0,57.3,0.0,42.699999999999996,77.17,Positive
Does not work,2022-12-13 11:17:32,5.7.0,0.0,0.0,100.0,0.0,Neutral
stc tv has a lot of movies but the server is bad you need number hours to watch an hour movie Not worth,2022-12-13 10:28:52,5.7.0,5.3,24.8,69.89999999999999,-74.3,Negative
,2022-12-13 10:08:50,5.7.0,0.0,0.0,0.0,0.0,Neutral
Stc Let Us Go Futher,2022-12-12 21:07:41,,0.0,0.0,100.0,0.0,Neutral
,2022-12-09 11:18:21,5.7.0,0.0,0.0,0.0,0.0,Neutral
good application smiling face with heartssmiling face with heartssmiling face with hearts,2022-12-05 04:25:33,5.6.0,37.1,0.0,62.9,70.96000000000001,Positive
Bad experience,2022-12-04 03:47:27,5.6.0,0.0,77.8,22.2,-54.230000000000004,Negative
cool,2022-12-03 08:45:37,5.6.0,100.0,0.0,0.0,31.819999999999997,Positive
less tv channel,2022-11-29 19:30:27,5.6.0,0.0,0.0,100.0,0.0,Neutral
great,2022-11-26 03:35:16,5.6.0,100.0,0.0,0.0,62.49,Positive
Need improvments and can not login errors,2022-11-25 00:06:54,,25.3,0.0,74.7,25.840000000000003,Positive
brilliant,2022-11-24 20:05:42,5.6.0,100.0,0.0,0.0,58.589999999999996,Positive
loving it,2022-11-23 04:02:40,5.6.0,79.60000000000001,0.0,20.4,59.940000000000005,Positive
Nothing much contents are below average and app is technically weak like all stc apps and services,2022-11-21 06:58:06,5.6.0,12.3,14.2,73.5,-10.27,Negative
Taking the money very fast then it is keep closing the app  solve it,2022-11-18 18:22:35,5.6.0,12.2,0.0,87.8,20.23,Positive
The best until now,2022-11-15 15:38:43,5.6.0,58.3,0.0,41.699999999999996,63.690000000000005,Positive
excellent application,2022-11-11 09:25:16,5.6.0,78.7,0.0,21.3,57.19,Positive
not much,2022-11-10 11:11:11,5.6.0,0.0,0.0,100.0,0.0,Neutral
it is excellent,2022-11-07 09:46:51,5.6.0,64.9,0.0,35.099999999999994,57.19,Positive
The app not working on android tv box,2022-11-06 15:54:52,5.6.0,0.0,0.0,100.0,0.0,Neutral
It is not working at all at the moment No updates available to the app,2022-11-04 13:40:27,5.6.0,0.0,13.600000000000001,86.4,-29.599999999999998,Negative
Very poor service,2022-11-04 08:53:31,5.4.1,0.0,62.9,37.1,-52.559999999999995,Negative
,2022-11-04 02:20:31,5.6.0,0.0,0.0,0.0,0.0,Neutral
Verry good,2022-11-03 10:06:41,5.6.0,74.4,0.0,25.6,44.04,Positive
It is nice,2022-11-03 04:12:24,5.6.0,58.3,0.0,41.699999999999996,42.15,Positive
its nice and hood for intertainment,2022-10-30 10:32:48,5.6.0,35.9,0.0,64.1,42.15,Positive
,2022-10-29 13:42:39,5.6.0,0.0,0.0,0.0,0.0,Neutral
,2022-10-29 12:38:26,5.6.0,0.0,0.0,0.0,0.0,Neutral
Perfect app Subtitle needs black shadow to be clear so we can easily read Do it like fiber stc tv subtitle settings,2022-10-29 09:32:48,5.6.0,38.9,0.0,61.1,88.75999999999999,Positive
it is easy to access  good quality but sadly most of the series does not run for along time,2022-10-29 08:18:58,5.6.0,16.5,15.7,67.80000000000001,-20.23,Negative
Great,2022-10-28 08:04:38,5.6.0,100.0,0.0,0.0,62.49,Positive
best,2022-10-27 09:57:04,5.6.0,100.0,0.0,0.0,63.690000000000005,Positive
Good apps,2022-10-27 09:51:10,5.6.0,74.4,0.0,25.6,44.04,Positive
v nice,2022-10-27 08:49:35,5.6.0,100.0,0.0,0.0,42.15,Positive
ok,2022-10-23 10:55:42,5.6.0,100.0,0.0,0.0,29.599999999999998,Positive
